event_id,gamma_track_id,scatter_x_mm,scatter_y_mm,scatter_z_mm,absorber_x_mm,absorber_y_mm,absorber_z_mm,scatter_energy_keV,absorber_energy_keV,total_energy_keV,incident_energy_keV,computed_theta_deg,geometric_theta_source_deg,arm_source_deg,scatter_sector,absorber_sector,scatter_pixel,absorber_pixel,delta_time
634207,716,7.6527210298787525,-38.879198143889624,1.459623992115936,-39.877738766993595,-55.90943720625712,-11.95066799247455,183.7979474526643,224.29109612258424,408.0890435752485,440.446,80.26242075034936,82.26458145064615,-2.002160700296784,6,5,52,56,0.0
640770,710,-0.43433746022288205,-40.000804981676104,-4.027954393832008,-51.06806532365211,-40.44786097501617,-1.921362390311914,178.42742652991117,228.00160270072783,406.429029230639,440.446,77.88082241589674,89.11731327831549,-11.236490862418748,6,5,26,11,0.0
645669,742,7.797941826403855,-39.76838497886308,8.925821214349934,-11.02255381043158,-69.3680672850852,12.263922261327934,101.97521160876468,306.1242608086351,408.09947241739974,440.446,49.42394255187297,43.52471730840052,5.899225243472451,6,6,54,7,0.0625
648087,991,-35.17024115613816,-18.865255852416112,0.8485015934736373,-70.19629167122005,0.9702334733316139,-2.4949813118667126,144.46705975520774,234.48296453677526,378.950024291983,440.446,64.29646960965209,57.98337589995875,6.313093709693341,5,4,4,27,0.0
680722,734,-11.255331687039591,39.14091488788501,-11.765409645727186,-5.664828474043806,63.10527978313625,-3.837630829214653,91.47341398959223,317.0030699297629,408.47648391935513,440.446,45.901830689185665,44.494131241287846,1.4076994478978193,2,2,56,42,0.0
685527,692,-25.491497105698183,-27.55616391694062,9.187189131077401,4.987038935984492,-67.10960242281455,5.308364968467111,165.7696302611217,220.5029392145894,386.27256947571107,440.446,72.5533342325723,81.76143118064981,-9.208096948077511,5,6,38,45,0.17578125
687235,764,36.15798685659133,-21.885994835584423,12.294454654821367,44.40813431952241,-50.45899175538703,-0.9319286221981457,113.7366016289483,286.04077007249964,399.7773717014479,440.446,53.408387597183754,57.91404122103812,-4.505653623854364,7,7,63,19,0.125
693979,753,8.981253635723498,-39.5407426953364,-0.39807944602718737,62.6200348941214,-10.187211971548988,2.4514872206341423,205.3627593809719,195.4813244663334,400.84408384730534,440.446,90.77399883440555,105.90120495762987,-15.127206123224326,6,0,51,4,0.1875
697719,736,19.78957941810957,34.38575646153426,10.202922787970147,4.125017405169683,63.52066769202861,-7.5178276711059375,155.00808620002672,254.35547316110146,409.3635593611282,440.446,68.28702052443876,70.58390972681394,-2.2968892023751835,1,2,63,17,0.0
701681,160,11.08769517186382,38.832244463716336,-2.146273684830021,41.857704243693455,49.46168754306502,4.009455813902076,162.1158221507719,318.41452823937385,480.5303503901457,440.446,71.08045946889752,56.43828895361789,14.642170515279624,2,1,3,45,0.0
701922,774,-23.60088588392532,30.98529226731469,-2.08943492039309,-44.329095377858344,46.14454962638051,5.54300371867005,20.72626753869451,377.1346394506923,397.8609069893868,440.446,19.488469197321127,25.52654670933822,-6.038077512017093,3,3,19,29,0.0
709917,665,18.577300208938503,35.660369813841534,-10.323513794791074,-8.409869297707155,69.83843565074162,-11.602506026151524,143.20298222545543,269.9431594845894,413.14614171004484,440.446,63.82867642592534,66.17224121456954,-2.3435647886442013,1,2,56,48,0.0
712996,737,33.404792736775754,-22.79848773918069,6.9125136053666845,48.76722797314731,-42.4927710321432,-10.96727538896738,131.6297975593971,280.6103475078046,412.2401450672017,440.446,59.63659844077571,48.2890791066196,11.347519334156104,7,7,54,40,0.0
719620,638,21.492766691952678,32.264920496883846,-0.6261997613267481,37.36105256096495,54.55599934407987,-7.495346852428065,9.825712087253262,392.8828615717864,402.70857365903964,440.446,13.212920828343885,13.28393937596954,-0.07101854762565551,1,1,51,57,0.125
724938,745,-35.78828506342659,-19.67077374218091,2.8350596390132874,4.802340112799064,-70.56622731808316,12.406682646341128,227.270091484374,180.8221962060841,408.0922876904581,440.446,103.70312915218764,99.06484488043247,4.638284271755168,5,6,4,47,0.0
